0.398,0,90,3200,3816,160,303,283,306
0.422,0,90,3200,3816,160,302,282,306
0.975,0,90,3200,3816,160,302,283,307
1.000,0,90,3200,3816,160,302,283,307
1.025,100,90,3200,3816,153,302,283,306
1.050,100,90,3200,3816,160,302,283,306
1.081,100,90,3200,3816,161,302,282,306
1.110,100,90,3200,3816,160,303,282,306
1.276,100,90,3200,3816,148,302,283,306
1.318,100,90,3200,3816,159,302,283,306
1.336,100,90,3200,3816,159,302,283,306
1.361,100,90,3202,3818,159,302,282,308
1.389,100,90,3215,3833,159,304,283,306
1.410,100,90,3252,3879,164,301,283,306
1.435,100,90,3252,3879,164,301,283,306
1.455,100,90,3341,3988,172,304,283,305
1.607,100,90,3364,4017,146,303,283,306
1.643,100,90,3376,4032,160,302,283,307
1.667,100,90,3394,4054,160,303,283,307
1.695,100,90,3419,4085,161,303,283,305
1.721,100,90,3432,4101,162,302,282,307
1.759,100,90,3453,4127,160,303,283,306
1.777,100,90,3466,4142,160,302,282,306
1.798,100,90,3488,4169,182,302,283,306
1.822,100,90,3586,4292,159,302,281,305
1.855,100,90,3607,4318,156,302,282,308
1.887,100,90,3627,4342,151,302,283,306
1.907,0,90,3649,4369,157,303,282,306
1.931,0,90,3667,4391,159,302,283,307
1.951,0,90,3709,4442,158,303,283,306
1.977,0,90,3714,4448,176,303,283,306
2.002,0,90,3729,4466,156,303,283,306
